Producer	Label	Corn	Rye	Wheat	Barley	Char	Entry Proof
Angel's Envy	Angel's Envy Bourbon	72.0	18.0		10.0	3.0	125.0
Barrell	Barrel	70.0	25.0		5.0		121.6
Barton 1792	1792	74.0	18.0		8.0	3.5	125.0
Brown-Forman	Cooper's Craft	72.0	18.0		10.0	4.0	125.0
Brown-Forman	Early Times	79.0	11.0		10.0		
Brown-Forman	Gentleman Jack	80.0	8.0		12.0	3.0	
Brown-Forman	Jack Daniels	80.0	8.0		12.0	3.0	
Brown-Forman	Jack Daniels Single Barrel	80.0	8.0		12.0	3.0	
Brown-Forman	Jack Daniels Rye	18.0	70.0		12.0	3.0	
Brown-Forman	Old Forester	72.0	18.0		10.0	4.0	125.0
Brown-Forman	Old Forester 1870	72.0	18.0		10.0	4.0	125.0
Brown-Forman	Old Forester 1897	72.0	18.0		10.0	4.0	125.0
Brown-Forman	Old Forester Straight Rye	15.0	65.0		20.0	4.0	
Brown-Forman	Woodford Double Oaked	72.0	18.0		10.0	4.0	125.0
Brown-Forman	Woodford Reserve	72.0	18.0		10.0	4.0	125.0
Brown-Forman	Woodford Reserve Rye	15.0	65.0		20.0	4.0	
Buffalo Trace	Ancient Age		13.5			4.0	125.0
Buffalo Trace	Benchmark 8		6.66			4.0	125.0
Buffalo Trace	Blantons		13.5			4.0	125.0
Buffalo Trace	Buffalo Trace		6.66			4.0	125.0
Buffalo Trace	Col EH Taylor, Jr		6.66			4.0	125.0
Buffalo Trace	Elmer T Lee		13.5			4.0	125.0
Buffalo Trace	George T Stagg		6.66			4.0	125.0
Buffalo Trace	Hancock reserve		13.5			4.0	125.0
Buffalo Trace	Old Charter		6.66			4.0	125.0
Buffalo Trace	Rock Hill Farms		13.5			4.0	125.0
Buffalo Trace	Stagg jr		6.66			4.0	125.0
Buffalo Trace	Van Winkle (All)			17.0		4.0	114.0
Buffalo Trace	Weller (all)	75.0		20.0	5.0	4.0	114.0
Buffalo Trace	William Larue Weller			17.0		4.0	114.0
Buffalo Trace	Eagle Rare		6.66			4.0	125.0
Bulleit	Bulleit Bourbon	68.0	28.0		4.0		
Bulleit	Bulleit 10 year Bourbon	68.0	28.0		4.0		
Bulleit	Bulleit Barrel Strength Bourbon	68.0	28.0		4.0		
Bulleit	Bulleit Rye (MGP Sourced)		95.0		5.0		
Diageo (with Distillery)	Blade & Bow, Blend						
Diageo (with Distillery)	I.W. Harper, New Bernheim	73.0	18.0		9.0		
Diageo (with Distillery)	Lost Prophet, George T. Stagg (Buffalo Trace)	75.0	15.0		10.0		
Diageo (with Distillery)	Old Blowhard, Old Bernheim	86.0	6.0		8.0		
Diageo (with Distillery)	Rhetoric 22, New Bernheim	86.0	6.0		8.0		
Few	Few Bourbon	70.0	20.0		10.0	3.0	118.0
