Bourbon	Meta Critic	STDEV	Reviewers	Cost	Class	Super Cluster	Cluster	Country	Type
Ancient Age 10yo Kentucky Straight Bourbon	8.44	0.35	8	1.0	Bourbon-like		R2	USA	Bourbon
Ancient Age Kentucky Straight Bourbon	7.85	0.69	10	1.0	Bourbon-like		R2	USA	Bourbon
Angel's Envy Bourbon (Port-finished)	8.42	0.47	18	3.0	Bourbon-like		R2	USA	Bourbon
Angel's Envy Cask Strength	8.85	0.48	12	5.5	Bourbon-like		R2	USA	Bourbon
Baker's 7yo Single Barrel Bourbon	9.02	0.26	3	3.0	Bourbon-like		R2	USA	Bourbon
Baker's 7yo Small Batch Bourbon	8.73	0.34	25	3.0	Bourbon-like		R2	USA	Bourbon
Barrell 15yo Craft Spirits Bourbon (Batch 001)	8.81	0.50	4	5.5	Bourbon-like			USA	Blend
Barrell Bourbon (all Batches)	8.79	0.26	16	4.0	Bourbon-like		R3	USA	Bourbon
Barton 1792 Full Proof Bourbon	8.66	0.41	13	3.0	Bourbon-like		R2	USA	Bourbon
Barton 1792 High Rye Bourbon	8.69	0.38	6	3.0	Bourbon-like		R3	USA	Bourbon
Barton 1792 Port Finished Bourbon	8.51	0.17	8	3.0	Bourbon-like		R2	USA	Bourbon
Barton 1792 Single Barrel Bourbon	8.48	0.39	7	3.0	Bourbon-like		R2	USA	Bourbon
Barton 1792 Small Batch Bourbon	8.50	0.38	23	2.0	Bourbon-like		R2	USA	Bourbon
Barton 1792 Sweet Wheat Bourbon	8.46	0.49	11	4.0	Bourbon-like		R0	USA	Bourbon
Basil Hayden's 10yo Bourbon	8.21	0.36	6	4.0	Bourbon-like		R3	USA	Bourbon
Basil Hayden's Kentucky Bourbon	8.29	0.32	23	2.0	Bourbon-like		R3	USA	Bourbon
Bernheim Original Straight Wheat 7yo Small Batch	8.41	0.50	21	2.0	Bourbon-like		R0	USA	Wheat
Blanton's Gold Kentucky Straight Bourbon	8.67	0.42	22	4.0	Bourbon-like		R2	USA	Bourbon
Blanton's Original Bourbon Single Barrel	8.65	0.29	27	3.0	Bourbon-like		R2	USA	Bourbon
Blanton's Special Reserve Single Barrel (Green label)	8.31	0.36	8	3.0	Bourbon-like		R2	USA	Bourbon
Blanton's Straight from the Barrel Bourbon	8.96	0.21	16	4.0	Bourbon-like		R2	USA	Bourbon
Booker's Small Batch Straight Bourbon	8.76	0.29	29	3.0	Bourbon-like		R2	USA	Bourbon
Buffalo Trace Bourbon	8.55	0.38	29	2.0	Bourbon-like		R1	USA	Bourbon
Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)	8.52	0.22	5	5.0	Bourbon-like		R1	USA	Bourbon
Buffalo Trace Experimental Collection 12yo floor #1 (wheat, 2015)	8.61	0.23	3	5.0	Bourbon-like		R0	USA	Bourbon
Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)	9.05	0.25	5	5.0	Bourbon-like		R1	USA	Bourbon
Bulleit 10yo	8.50	0.37	19	3.0	Bourbon-like		R3	USA	Bourbon
Bulleit Bourbon Barrel Strength	8.56	0.25	9	4.0	Bourbon-like		R3	USA	Bourbon
Bulleit Bourbon	8.33	0.35	29	2.0	Bourbon-like		R3	USA	Bourbon
Colonel E.H. Taylor Four Grain	8.83	0.30	10	4.0	Bourbon-like		R1	USA	Bourbon
Colonel E.H. Taylor Single Barrel	8.80	0.39	14	4.0	Bourbon-like		R1	USA	Bourbon
Colonel E.H. Taylor Small Batch (BiB)	8.67	0.22	19	4.0	Bourbon-like		R1	USA	Bourbon
Colonel EH. Taylor Barrel Proof	8.93	0.18	13	4.0	Bourbon-like		R1	USA	Bourbon
Eagle Rare 10yo	8.64	0.29	29	2.0	Bourbon-like		R1	USA	Bourbon
Eagle Rare 17yo	8.88	0.29	18	5.5	Bourbon-like		R1	USA	Bourbon
Early Times BiB Kentucky Straight	8.71	0.30	5	1.0	Bourbon-like		R1	USA	Bourbon
Early Times Kentucky Whisky	7.09	0.48	7	1.0	Bourbon-like		R1	USA	Bourbon
Elijah Craig 12yo	8.66	0.27	27	2.0	Bourbon-like		R1	USA	Bourbon
Elijah Craig 18yo	8.76	0.43	16	5.0	Bourbon-like		R1	USA	Bourbon
Elijah Craig 21yo	9.17	0.34	6	5.5	Bourbon-like		R1	USA	Bourbon
Elijah Craig Barrel Proof	8.82	0.31	21	4.0	Bourbon-like		R1	USA	Bourbon
Elijah Craig Small Batch (NAS)	8.33	0.30	10	2.0	Bourbon-like		R1	USA	Bourbon
Elmer T. Lee Single Barrel Bourbon	8.75	0.35	20	3.0	Bourbon-like		R2	USA	Bourbon
